Camp_Name,enum_name,enum_nub,coordinates_latitude,coordinates_longitude,governorate,site_typology,area,sub_site,site_name,site_new,month,camp_mngt,camp_mngmt_office,camp_mngmt_male_staff,camp_mngmt_female_staff,camp_committee,population_tracking,plots/occupied_plots,plots/not_occupied_plots,extension/total_plots,extension/total_plots_confirm,extension/extension_planned,shelter_types/tent_cement,shelter_types/tent_ground,shelter_types/caravan,shelter_types/improvised_shelter,shelter_types/single_fam_unit,shelter_types/collective,shelter_types/rubhall,shelter_types/openair,shelter_types/overcrowded_family_plots,total_hh/total_families,ind_ages/ind_age_groups/males_0_4,ind_ages/ind_age_groups/females_0_4,ind_ages/ind_age_groups/males_5_17,ind_ages/ind_age_groups/females_5_17,ind_ages/ind_age_groups/males_18_59,ind_ages/ind_age_groups/females_18_59,ind_ages/ind_age_groups/males_60_over,ind_ages/ind_age_groups/females_60_over,ind_ages/total_population,ind_ages/vulnerabilities_groups./F_HoH,ind_ages/vulnerabilities_groups./Child_HoH,ind_ages/vulnerabilities_groups./unaccompanied_separated,ind_ages/vulnerabilities_groups./ppl_physical_dis,ind_ages/vulnerabilities_groups./ppl_mental_dis,ind_ages/vulnerabilities_groups./preg_or_lac,ind_ages/vulnerabilities_groups./ppl_chronic_disease,ind_ages/vulnerabilities_groups./elderly_at_risk,ind_ages/vulnerabilities_groups./widow,Needs/priority_needs,nfi_items/blankets,nfi_items/mattress,nfi_items/water_container,nfi_items/oven,nfi_items/fuel,nfi_items/kitchen_nfi,nfi_items/hygiene,nfi_items/feminine,nfi_items/other_nfi_items,nfi_items/other_specify,wash/water_quantity,wash/wash_source,wash/water_points,wash/latrines_nonsegregated,wash/latrines_male,wash/latrines_female,wash/shower_nonsegregated,wash/shower_male,wash/shower_female,wash/wastebins,health/health_phc,health/health_femaleworkers,health/health_shc,health/health_services_preg,health/health_ambulance,health/ilness_type,food_security/food_access,food_security/food_assistance_freq,food_security/food_assistance_type,protection/security,protection/departure,protection/temp_leaving_camp_med,protection/temp_leaving_camp_markt,protection/phones_allowed,protection/missing_docs,protection/uxo,protection/services_prot,protection/host_tension,protection/access_markets,education_access/primary_school,education_access/secondary_school,education/boys_primary,education/boys_secondary,education/girls_primary,education/girls_secondary,education/reasons_not_school,education/non_formal_edu,education/non_formal_participation,education/recreational,who_what/partners_protection,who_what/partners_gbv,who_what/partners_childprot,who_what/partners_education,who_what/partners_shelter,who_what/partners_water,who_what/partners_sanitation,who_what/partners_waste,who_what/partners_nfi,who_what/partners_phc,who_what/partners_shc,who_what/partners_mhpss,who_what/partners_nutrition,who_what/partners_food,who_what/partners_socialcohesion,who_what/partners_livelihood,who_what/partners_communication
Rafina,Panagiotis Tsirigotis,GRC,38.008721,23.995235,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fylakio RIC,Margaritis Petritzikis,GRC,41.581937,26.327491,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filippiada site,Maria Mega,GRC,39.676953,20.82304,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doliana Site,Maria Mega,GRC,39.676964,20.823032,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konitsa Site,Maria Mega,GRC,40.0481,20.7528,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermopiles,Zein Hakim,GRC,38.794025,22.52735,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schisto,Dimitrios Panagopoulos,GRC,37.978211,23.593508,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepida Reception and Identification Center,Georgios Georgiadis/Field Assistant,GRC,37.118167,26.860182,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Sfageia - Rhodes,Stergiani Stogiannou,GRC,36.262466,28.141643,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilos - Military Camp,Stergiani Stogiannou,GRC,36.243161,27.234428,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skaramangkas,Chrysoula Vlachou,GRC,38.01,23.6,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elliniko Arrivals,Konstantinos Vlastarakis,GRC,37.897008,23.720944,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elliniko I,Sirin kurt,GRC,37.899697,23.726326,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kos RIC - Pyli,Stergiani Stogiannou,GRC,36.856614,27.164832,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria,Viktorya Shaban,GRC,40.635371,22.453998,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veria/Armatolou Kokkinou,Viktorya Shaban,GRC,40.515403,22.2083197,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagadikia,Aliki Mademli,GRC,40.6290831,23.2453493,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindos/Karamanlis Building,Thanasis Stampoultzis,GRC,40.645219,22.824173,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derveni/Alexil,Ioannis Tsiaras,GRC,40.724371,22.977128,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oreokastro,Ana Alkinoi Miliopoulou,GRC,40.702637,22.902687,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diavata,Stefania Stefanovic,GRC,40.70095,22.86394,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindos/Frakapor,Eleni Piskilidou,GRC,40.665894,22.833699,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalochori - Iliadi,Theodora Kalosidou,GRC,40.652469,22.852683,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kordelio/Softex,Alex Tzenos,GRC,40.670109,22.874761,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pieria (Ktima Iraklis),Eleni Pislikidou,GRC,40.25589,22.367463,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nea Kavala,Nea Kavala,GRC,40.99059,22.62476,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
